Date,Hour,Street,Average
9/2/2017,10,Spencer St-Collins St (North),1621
9/2/2017,11,Bourke Street Mall (North),1784
9/2/2017,12,Bourke Street Mall (North),2894
9/2/2017,13,Bourke Street Mall (North),2867
9/2/2017,14,Bourke Street Mall (South),2068
9/2/2017,15,Flinders St Station Underpass,1972
9/2/2017,16,Spencer St-Collins St (North),3071
9/2/2017,17,Flinders St Station Underpass,4737
9/2/2017,18,Southbank,3161
9/2/2017,19,Southbank,2398
9/2/2017,20,Southbank,2328
9/2/2017,21,Southbank,2046
10/2/2017,10,Spencer St-Collins St (North),1659
10/2/2017,11,Bourke Street Mall (South),1822
10/2/2017,12,Southbank,3407
10/2/2017,13,Bourke Street Mall (North),3794
10/2/2017,14,Bourke Street Mall (North),3260
10/2/2017,15,Bourke Street Mall (North),3220
10/2/2017,16,Spencer St-Collins St (North),3407
10/2/2017,17,Flinders St Station Underpass,5153
10/2/2017,18,Southbank,3729
10/2/2017,19,Southbank,3355
10/2/2017,20,Southbank,3237
10/2/2017,21,Southbank,3105
11/2/2017,10,Southbank,1660
11/2/2017,11,Bourke Street Mall (North),1957
11/2/2017,12,Bourke Street Mall (North),2533
11/2/2017,13,Southbank,2860
11/2/2017,14,Southbank,3131
11/2/2017,15,Bourke Street Mall (North),3517
11/2/2017,16,Princes Bridge,3467
11/2/2017,17,Southbank,3831
11/2/2017,18,Southbank,3664
11/2/2017,19,Southbank,3583
11/2/2017,20,Southbank,3565
11/2/2017,21,Southbank,3524
12/2/2017,10,Flinders St-Swanston St (West),1667
12/2/2017,11,Flinders St-Swanston St (West),2930
12/2/2017,12,Flinders St-Swanston St (West),3517
12/2/2017,13,Flinders St-Swanston St (West),3794
12/2/2017,14,Flinders St-Swanston St (West),4026
12/2/2017,15,Flinders St-Swanston St (West),3953
12/2/2017,16,Flinders St-Swanston St (West),3706
12/2/2017,17,Flinders St-Swanston St (West),3369
12/2/2017,18,Flinders St-Swanston St (West),2982
12/2/2017,19,Flinders St-Swanston St (West),2369
12/2/2017,20,Flinders St-Swanston St (West),2078
12/2/2017,21,Flinders St-Swanston St (West),1765
13/2/2017,10,Flinders St-Swanston St (West),2327
13/2/2017,11,Flinders St-Swanston St (West),2786
13/2/2017,12,Flinders St-Swanston St (West),3723
13/2/2017,13,Flinders St-Swanston St (West),4075
13/2/2017,14,Flinders St-Swanston St (West),3857
13/2/2017,15,Flinders St-Swanston St (West),4105
13/2/2017,16,Flinders St-Swanston St (West),4525
13/2/2017,17,Flinders St Station Underpass,5152
13/2/2017,18,Flinders St-Swanston St (West),3637
13/2/2017,19,Flinders St-Swanston St (West),2610
13/2/2017,20,Flinders St-Swanston St (West),2232
13/2/2017,21,Flinders St-Swanston St (West),1754
14/2/2017,10,Flinders St-Swanston St (West),2655
14/2/2017,11,Flinders St-Swanston St (West),2968
14/2/2017,12,Flinders St-Swanston St (West),4007
