date,street,average
10/19/2017,Flinders St-Spark Lane,136.79
10/20/2017,Tin Alley-Swanston St (West),148.04
10/21/2017,Flinders St-Spark Lane,82.04
10/22/2017,Flinders St-Spring St (West),60.79
10/23/2017,Flinders St-Spark Lane,142.79
10/24/2017,Flinders St-Spark Lane,145.46
10/25/2017,Flinders St-Spark Lane,145.79
10/26/2017,Flinders St-Spark Lane,143.13
10/27/2017,Monash Rd-Swanston St (West),205.21
10/28/2017,Collins Place (North),117.25
10/29/2017,Flinders St-Spring St (West),78.88
10/30/2017,Lygon Street (East),117.54
10/31/2017,Lygon Street (East),128.67
11/1/2017,New Quay,166.46
11/2/2017,New Quay,177.33
11/3/2017,Lygon Street (East),161.21
11/4/2017,Alfred Place,92.54
11/5/2017,Alfred Place,77.00
11/6/2017,Monash Rd-Swanston St (West),160.50
11/7/2017,QV Market-Peel St,65.42
11/8/2017,Monash Rd-Swanston St (West),189.92
11/9/2017,Monash Rd-Swanston St (West),183.50
11/10/2017,Lygon Street (East),197.46
11/11/2017,Grattan St-Swanston St (West),116.13
11/12/2017,Alfred Place,82.92
11/13/2017,Flinders St-Spark Lane,190.04
11/14/2017,New Quay,177.08
11/15/2017,Monash Rd-Swanston St (West),167.58
11/16/2017,Lygon Street (East),158.50
11/17/2017,Lygon Street (East),187.17
11/18/2017,Flinders St-Spring St (West),97.38
11/19/2017,Webb Bridge,61.17
11/20/2017,QV Market-Peel St,92.67
11/21/2017,QV Market-Peel St,130.33
11/22/2017,Lygon Street (East),141.21
11/23/2017,Webb Bridge,152.58
11/24/2017,Lygon Street (East),156.29
11/25/2017,Victoria Point,71.88
11/26/2017,Flinders St-Spring St (West),68.71
11/27/2017,Lygon Street (East),142.71
11/28/2017,Lygon Street (East),135.58
11/29/2017,QV Market-Peel St,141.21
11/30/2017,QV Market-Peel St,115.21
12/1/2017,QV Market-Peel St,113.29
12/2/2017,Monash Rd-Swanston St (West),46.79
12/3/2017,Victoria Point,42.63
12/4/2017,QV Market-Peel St,102.42
12/5/2017,Lygon Street (East),140.67
12/6/2017,QV Market-Peel St,141.42
12/7/2017,QV Market-Peel St,132.13
12/8/2017,Lygon Street (East),167.17
12/9/2017,Flinders St-Spring St (West),83.63
12/10/2017,Flinders St-Spring St (West),79.25
12/11/2017,Flinders St-Spark Lane,167.54
12/12/2017,Lygon Street (East),159.79
12/13/2017,Lygon Street (East),145.79
12/14/2017,Flinders St-Spark Lane,146.04
12/15/2017,Lygon Street (East),168.75
12/16/2017,Flinders St-Spring St (West),82.96
12/17/2017,Grattan St-Swanston St (West),65.54
12/18/2017,Monash Rd-Swanston St (West),146.71
12/19/2017,Lygon Street (East),127.83
12/20/2017,QV Market-Peel St,129.67
